,ds,yhat
0,2020-03-01,115.19891965037917
1,2020-03-02,204.5602268523263
2,2020-03-03,233.93946817259848
3,2020-03-04,357.91542363802125
4,2020-03-05,303.2063717606116
5,2020-03-06,-129.50227823677642
6,2020-03-07,95.01255690180531
7,2020-03-08,331.3553322354549
8,2020-03-09,420.7166394580538
9,2020-03-10,450.0958808318757
10,2020-03-11,574.0718363808436
11,2020-03-12,519.3627845959818
12,2020-03-13,86.65413476166253
13,2020-03-14,311.16897011760943
14,2020-03-15,547.5117456961718
15,2020-03-16,636.8730531202938
16,2020-03-17,666.2522946219881
17,2020-03-18,790.2282502233634
18,2020-03-19,735.5191984197537
19,2020-03-20,302.8105485089373
20,2020-03-21,527.3253837868605
21,2020-03-22,763.6681592055303
22,2020-03-23,853.0294608021458
23,2020-03-24,882.4086965173412
24,2020-03-25,1006.3846464277583
25,2020-03-26,951.6755889335734
26,2020-03-27,518.9669332851174
27,2020-03-28,743.4817628636486
28,2020-03-29,979.824532636741
29,2020-03-30,1069.1858342751839
30,2020-03-31,1098.5650700328222
31,2020-04-01,1222.5410199796368
32,2020-04-02,1167.831962419661
33,2020-04-03,735.1233067425101
34,2020-04-04,959.6381363033373
35,2020-04-05,1195.9809060360092
36,2020-04-06,1285.3422076143418
37,2020-04-07,1314.7214433609631
38,2020-04-08,1438.6973932828353
39,2020-04-09,1383.9883357987374
40,2020-04-10,951.2796801613897
41,2020-04-11,1175.7945097124334
42,2020-04-12,1412.1372794470542
43,2020-04-13,1501.4985810268943
44,2020-04-14,1530.8778167249757
45,2020-04-15,1654.8537665981587
46,2020-04-16,1600.1447090672414
47,2020-04-17,1167.4360534166808
48,2020-04-18,1391.950882956081
49,2020-04-19,1628.2936526905705
50,2020-04-20,1717.6549542703817
51,2020-04-21,1747.0341899683092
52,2020-04-22,1871.010139842099
53,2020-04-23,1816.301082310652
54,2020-04-24,1383.5924266601846
55,2020-04-25,1608.1072562000898
56,2020-04-26,1844.4500259344163
57,2020-04-27,1933.8113275142125
58,2020-04-28,1963.190563211723
59,2020-04-29,2087.166513085371
60,2020-04-30,2032.4574555538752
61,2020-05-01,1599.7487999044668
62,2020-05-02,1824.2636294426761
63,2020-05-03,2060.606399178262
64,2020-05-04,2149.9677007576997
65,2020-05-05,2179.3469364559655
66,2020-05-06,2303.322886329311
67,2020-05-07,2248.613828797286
68,2020-05-08,1815.9051731479708
69,2020-05-09,2040.4200026866854
70,2020-05-10,2276.7627724221084
71,2020-05-11,2366.1240740016005
72,2020-05-12,2395.503309699379
73,2020-05-13,2519.479259572706
74,2020-05-14,2464.7702020406964
75,2020-05-15,2032.0615463914712
76,2020-05-16,2256.576375930332
77,2020-05-17,2492.919145665625
78,2020-05-18,2582.280447245018
79,2020-05-19,2611.659682942792
80,2020-05-20,2735.6356328163124
81,2020-05-21,2680.926575284107
82,2020-05-22,2248.2179196349716
83,2020-05-23,2472.732749174342
84,2020-05-24,2709.075518908771
85,2020-05-25,2798.436820488919
86,2020-05-26,2827.81605618662
87,2020-05-27,2951.7920060599195
88,2020-05-28,2897.0829485288496
89,2020-05-29,2464.374292879257
90,2020-05-30,2688.8891224183512
91,2020-05-31,2925.2318921526175
